GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mvcdemo2,com.example.mvcdemo2,Mvcdemo2Application,25,7,0,0,6,2,1,2,1,2
mvcdemo2,com.example.mvcdemo2.model,Tag,3,0,0,0,1,0,1,0,1,0
mvcdemo2,com.example.mvcdemo2.model,History,53,3,0,0,19,2,10,1,10,1
mvcdemo2,com.example.mvcdemo2.model,GPA,79,3,0,0,34,2,21,1,21,1
mvcdemo2,com.example.mvcdemo2.model,Post,4,106,0,0,2,36,1,18,1,18
mvcdemo2,com.example.mvcdemo2.model,User,41,0,0,0,15,0,8,0,8,0
mvcdemo2,com.example.mvcdemo2.model,goods,42,38,0,0,18,16,12,6,12,6
mvcdemo2,com.example.mvcdemo2.model,Comment,0,89,0,0,0,31,0,17,0,17
mvcdemo2,com.example.mvcdemo2.model,Student,56,30,0,0,25,11,16,2,16,2
mvcdemo2,com.example.mvcdemo2.model,Users,41,3,0,0,15,2,8,1,8,1
mvcdemo2,com.example.mvcdemo2.model,Reservation,0,89,0,0,0,30,0,20,0,20
mvcdemo2,com.example.mvcdemo2.demos.web,BasicController,35,0,0,0,11,0,6,0,6,0
mvcdemo2,com.example.mvcdemo2.demos.web,PathVariableController,10,0,0,0,3,0,3,0,3,0
mvcdemo2,com.example.mvcdemo2.demos.web,User,17,0,0,0,7,0,5,0,5,0
mvcdemo2,com.example.mvcdemo2.Data,Loader,377,0,22,0,127,0,22,0,11,0
mvcdemo2,com.example.mvcdemo2.task,RelatedTopics.new Comparator() {...},14,0,0,0,2,0,2,0,2,0
mvcdemo2,com.example.mvcdemo2.task,TopicPopularity,132,0,12,0,27,0,12,0,6,0
mvcdemo2,com.example.mvcdemo2.task,BugPopularity,24,0,0,0,9,0,6,0,6,0
mvcdemo2,com.example.mvcdemo2.task,RelatedTopics,476,0,28,0,97,0,26,0,12,0
mvcdemo2,com.example.mvcdemo2.controller,AdviceController,0,9,0,0,0,4,0,4,0,4
mvcdemo2,com.example.mvcdemo2.controller,StudentController,32,10,0,0,12,4,8,2,8,2
mvcdemo2,com.example.mvcdemo2.controller,UserController,123,3,8,0,30,1,8,1,4,1
mvcdemo2,com.example.mvcdemo2.controller,trade_controller,122,6,2,0,36,3,7,1,6,1
mvcdemo2,com.example.mvcdemo2.controller,QuizController,13,3,2,0,5,1,4,1,3,1
mvcdemo2,com.example.mvcdemo2.controller,GPARequest,17,0,0,0,7,0,5,0,5,0
mvcdemo2,com.example.mvcdemo2.controller,ImageTestController,15,6,2,0,4,3,2,1,1,1
mvcdemo2,com.example.mvcdemo2.controller,GPAController,42,3,2,0,9,1,4,1,3,1
mvcdemo2,com.example.mvcdemo2.controller,HistoryController,61,6,0,0,15,2,6,1,6,1
mvcdemo2,com.example.mvcdemo2.controller,PostController,94,69,7,3,23,17,10,6,5,6
mvcdemo2,com.example.mvcdemo2.controller,ImageController,32,3,4,0,7,1,3,1,1,1
mvcdemo2,com.example.mvcdemo2.controller,ReservationController,0,74,0,6,0,17,0,9,0,6
mvcdemo2,com.example.mvcdemo2.controller,AIController,0,5,0,0,0,2,0,2,0,2
mvcdemo2,com.example.mvcdemo2.controller,StudentRestController,5,6,0,0,2,3,2,1,2,1
mvcdemo2,com.example.mvcdemo2.service,StudentService,0,10,0,0,0,4,0,2,0,2
mvcdemo2,com.example.mvcdemo2.service,trade_service,0,47,0,0,0,12,0,4,0,4
mvcdemo2,com.example.mvcdemo2.service,ReservationService,0,44,0,2,0,13,0,6,0,5
